waveem,flux
5.832049e+03,2.050424e+00
5.830251e+03,2.048187e+00
5.828453e+03,2.161923e+00
5.826655e+03,2.152668e+00
5.824857e+03,1.952561e+00
5.823059e+03,2.014279e+00
5.821262e+03,2.133483e+00
5.819464e+03,1.986353e+00
5.817666e+03,2.001178e+00
5.815868e+03,2.110660e+00
5.814070e+03,2.048789e+00
5.812272e+03,2.198338e+00
5.810474e+03,2.148983e+00
5.808676e+03,2.085422e+00
5.806878e+03,2.154540e+00
5.805080e+03,2.123046e+00
5.803282e+03,2.059537e+00
5.801485e+03,2.089292e+00
5.799687e+03,1.978564e+00
5.797889e+03,2.079574e+00
5.796091e+03,1.904038e+00
5.794293e+03,1.967421e+00
5.792495e+03,2.052941e+00
5.790697e+03,2.044675e+00
5.788899e+03,2.021464e+00
5.787101e+03,1.985619e+00
5.785303e+03,2.035663e+00
5.783505e+03,2.050294e+00
5.781708e+03,1.964647e+00
5.779910e+03,1.981189e+00
5.778112e+03,2.134773e+00
5.776314e+03,2.047470e+00
5.774516e+03,2.017365e+00
5.772718e+03,1.967304e+00
5.770920e+03,2.023428e+00
5.769122e+03,1.987968e+00
5.767324e+03,2.023919e+00
5.765526e+03,1.991022e+00
5.763728e+03,2.000158e+00
5.761930e+03,2.053939e+00
5.760133e+03,2.062299e+00
5.758335e+03,2.084984e+00
5.756537e+03,2.036595e+00
5.754739e+03,1.965390e+00
5.752941e+03,2.087279e+00
5.751143e+03,1.801757e+00
5.749345e+03,2.082119e+00
5.747547e+03,2.070703e+00
5.745749e+03,1.990901e+00
5.743951e+03,2.034838e+00
5.742153e+03,1.971870e+00
5.740356e+03,2.029946e+00
5.738558e+03,1.976543e+00
5.736760e+03,1.956739e+00
5.734962e+03,2.077580e+00
5.733164e+03,1.969598e+00
5.731366e+03,2.090967e+00
5.729568e+03,2.011002e+00
5.727770e+03,2.063523e+00
5.725972e+03,2.022051e+00
5.724174e+03,2.087212e+00
5.722376e+03,1.969799e+00
5.720579e+03,2.079122e+00
5.718781e+03,2.079919e+00
5.716983e+03,1.952184e+00
5.715185e+03,1.941423e+00
5.713387e+03,1.758785e+00
5.711589e+03,1.917014e+00
5.709791e+03,1.891638e+00
5.707993e+03,1.714303e+00
5.706195e+03,1.789049e+00
5.704397e+03,1.844674e+00
5.702599e+03,1.876761e+00
5.700801e+03,1.922524e+00
5.699004e+03,1.982509e+00
5.697206e+03,1.894166e+00
5.695408e+03,1.857056e+00
5.693610e+03,1.883473e+00
5.691812e+03,1.887151e+00
5.690014e+03,1.902040e+00
5.688216e+03,1.885146e+00
